target_id,date_generated,day_focus,company,sector,technology,contract_signals,preferred_engagement,hourly_rates,typical_duration,urgency,recruiter_title,linkedin_search,search_priority,research_status,contact_found,email_sent,response_received,notes
T0037,2026-02-16,Monday,Accenture,Consulting Agencies,Java,"Subcontractor model, always hiring",C2C through partnerships,$60-120/hour,3-12 months,Multiple client projects continuously,Subcontractor Acquisition,"""Accenture"" AND ""Subcontractor Acquisition"" AND ""contract"" AND ""Java""",High,Not Started,No,No,No,High volume contractor placement
T0047,2026-02-16,Monday,Deloitte Digital,Consulting Agencies,Java,Project-based contractor model,"C2C, 1099 for specialists",$80-150/hour,4-8 months,Client project demands,Project Staffing Manager,"""Deloitte Digital"" AND ""Project Staffing Manager"" AND ""contract"" AND ""Java""",High,Not Started,No,No,No,Premium rates for digital expertise
T0031,2026-02-16,Monday,Bank of America,Fintech Banking,React,Digital transformation contractor surge,"C2C preferred, some 1099",$70-130/hour,6-18 months,Cloud migration projects ongoing,Technology Vendor Manager,"""Bank of America"" AND ""Technology Vendor Manager"" AND ""contract"" AND ""React""",High,Not Started,No,No,No,Large scale contractor programs
T0014,2026-02-16,Monday,JPMorgan Chase,Fintech Banking,DevOps,Posts 50+ contract developer roles monthly,C2C through approved vendors,$80-150/hour,6-12 months,Always hiring contractors for regulatory projects,Vendor Management,"""JPMorgan Chase"" AND ""Vendor Management"" AND ""contract"" AND ""DevOps""",Medium,Not Started,No,No,No,"Massive contract budget, prefers established vendors"
T0042,2026-02-16,Monday,Accenture,Consulting Agencies,AWS,"Subcontractor model, always hiring",C2C through partnerships,$60-120/hour,3-12 months,Multiple client projects continuously,Contractor Relations,"""Accenture"" AND ""Contractor Relations"" AND ""contract"" AND ""AWS""",High,Not Started,No,No,No,High volume contractor placement
T0044,2026-02-16,Monday,Accenture,Consulting Agencies,DevOps,"Subcontractor model, always hiring",C2C through partnerships,$60-120/hour,3-12 months,Multiple client projects continuously,Contractor Relations,"""Accenture"" AND ""Contractor Relations"" AND ""contract"" AND ""DevOps""",Medium,Not Started,No,No,No,High volume contractor placement
T0052,2026-02-16,Monday,Deloitte Digital,Consulting Agencies,AWS,Project-based contractor model,"C2C, 1099 for specialists",$80-150/hour,4-8 months,Client project demands,Digital Contractor Lead,"""Deloitte Digital"" AND ""Digital Contractor Lead"" AND ""contract"" AND ""AWS""",High,Not Started,No,No,No,Premium rates for digital expertise
T0008,2026-02-16,Monday,JPMorgan Chase,Fintech Banking,React,Posts 50+ contract developer roles monthly,C2C through approved vendors,$80-150/hour,6-12 months,Always hiring contractors for regulatory projects,Vendor Management,"""JPMorgan Chase"" AND ""Vendor Management"" AND ""contract"" AND ""React""",High,Not Started,No,No,No,"Massive contract budget, prefers established vendors"
T0013,2026-02-16,Monday,JPMorgan Chase,Fintech Banking,DevOps,Posts 50+ contract developer roles monthly,C2C through approved vendors,$80-150/hour,6-12 months,Always hiring contractors for regulatory projects,Talent Acquisition - Contract,"""JPMorgan Chase"" AND ""Talent Acquisition - Contract"" AND ""contract"" AND ""DevOps""",Medium,Not Started,No,No,No,"Massive contract budget, prefers established vendors"
T0048,2026-02-16,Monday,Deloitte Digital,Consulting Agencies,Python,Project-based contractor model,"C2C, 1099 for specialists",$80-150/hour,4-8 months,Client project demands,Digital Contractor Lead,"""Deloitte Digital"" AND ""Digital Contractor Lead"" AND ""contract"" AND ""Python""",High,Not Started,No,No,No,Premium rates for digital expertise
T0017,2026-02-16,Monday,Goldman Sachs,Fintech Banking,Java,Heavy contract hiring for trading systems,"C2C, 1099 for specialized skills",$100-180/hour,3-6 months,Quarterly trading system upgrades,Trading Technology Recruiter,"""Goldman Sachs"" AND ""Trading Technology Recruiter"" AND ""contract"" AND ""Java""",High,Not Started,No,No,No,"High-paying contracts, fast decision making"
T0045,2026-02-16,Monday,Accenture,Consulting Agencies,DevOps,"Subcontractor model, always hiring",C2C through partnerships,$60-120/hour,3-12 months,Multiple client projects continuously,Subcontractor Acquisition,"""Accenture"" AND ""Subcontractor Acquisition"" AND ""contract"" AND ""DevOps""",Medium,Not Started,No,No,No,High volume contractor placement
T0034,2026-02-16,Monday,Bank of America,Fintech Banking,DevOps,Digital transformation contractor surge,"C2C preferred, some 1099",$70-130/hour,6-18 months,Cloud migration projects ongoing,Digital Contractor Recruiter,"""Bank of America"" AND ""Digital Contractor Recruiter"" AND ""contract"" AND ""DevOps""",Medium,Not Started,No,No,No,Large scale contractor programs
T0007,2026-02-16,Monday,JPMorgan Chase,Fintech Banking,React,Posts 50+ contract developer roles monthly,C2C through approved vendors,$80-150/hour,6-12 months,Always hiring contractors for regulatory projects,Talent Acquisition - Contract,"""JPMorgan Chase"" AND ""Talent Acquisition - Contract"" AND ""contract"" AND ""React""",High,Not Started,No,No,No,"Massive contract budget, prefers established vendors"
T0050,2026-02-16,Monday,Deloitte Digital,Consulting Agencies,React,Project-based contractor model,"C2C, 1099 for specialists",$80-150/hour,4-8 months,Client project demands,Digital Contractor Lead,"""Deloitte Digital"" AND ""Digital Contractor Lead"" AND ""contract"" AND ""React""",High,Not Started,No,No,No,Premium rates for digital expertise
T0011,2026-02-16,Monday,JPMorgan Chase,Fintech Banking,AWS,Posts 50+ contract developer roles monthly,C2C through approved vendors,$80-150/hour,6-12 months,Always hiring contractors for regulatory projects,Vendor Management,"""JPMorgan Chase"" AND ""Vendor Management"" AND ""contract"" AND ""AWS""",High,Not Started,No,No,No,"Massive contract budget, prefers established vendors"
T0030,2026-02-16,Monday,Bank of America,Fintech Banking,React,Digital transformation contractor surge,"C2C preferred, some 1099",$70-130/hour,6-18 months,Cloud migration projects ongoing,Digital Contractor Recruiter,"""Bank of America"" AND ""Digital Contractor Recruiter"" AND ""contract"" AND ""React""",High,Not Started,No,No,No,Large scale contractor programs
T0053,2026-02-16,Monday,Deloitte Digital,Consulting Agencies,AWS,Project-based contractor model,"C2C, 1099 for specialists",$80-150/hour,4-8 months,Client project demands,Project Staffing Manager,"""Deloitte Digital"" AND ""Project Staffing Manager"" AND ""contract"" AND ""AWS""",High,Not Started,No,No,No,Premium rates for digital expertise
T0022,2026-02-16,Monday,Goldman Sachs,Fintech Banking,AWS,Heavy contract hiring for trading systems,"C2C, 1099 for specialized skills",$100-180/hour,3-6 months,Quarterly trading system upgrades,Contract Technical Recruiter,"""Goldman Sachs"" AND ""Contract Technical Recruiter"" AND ""contract"" AND ""AWS""",High,Not Started,No,No,No,"High-paying contracts, fast decision making"
T0032,2026-02-16,Monday,Bank of America,Fintech Banking,AWS,Digital transformation contractor surge,"C2C preferred, some 1099",$70-130/hour,6-18 months,Cloud migration projects ongoing,Digital Contractor Recruiter,"""Bank of America"" AND ""Digital Contractor Recruiter"" AND ""contract"" AND ""AWS""",High,Not Started,No,No,No,Large scale contractor programs
T0040,2026-02-16,Monday,Accenture,Consulting Agencies,React,"Subcontractor model, always hiring",C2C through partnerships,$60-120/hour,3-12 months,Multiple client projects continuously,Contractor Relations,"""Accenture"" AND ""Contractor Relations"" AND ""contract"" AND ""React""",High,Not Started,No,No,No,High volume contractor placement
T0005,2026-02-16,Monday,JPMorgan Chase,Fintech Banking,Python,Posts 50+ contract developer roles monthly,C2C through approved vendors,$80-150/hour,6-12 months,Always hiring contractors for regulatory projects,Vendor Management,"""JPMorgan Chase"" AND ""Vendor Management"" AND ""contract"" AND ""Python""",High,Not Started,No,No,No,"Massive contract budget, prefers established vendors"
T0043,2026-02-16,Monday,Accenture,Consulting Agencies,AWS,"Subcontractor model, always hiring",C2C through partnerships,$60-120/hour,3-12 months,Multiple client projects continuously,Subcontractor Acquisition,"""Accenture"" AND ""Subcontractor Acquisition"" AND ""contract"" AND ""AWS""",High,Not Started,No,No,No,High volume contractor placement
T0055,2026-02-16,Monday,Deloitte Digital,Consulting Agencies,DevOps,Project-based contractor model,"C2C, 1099 for specialists",$80-150/hour,4-8 months,Client project demands,Project Staffing Manager,"""Deloitte Digital"" AND ""Project Staffing Manager"" AND ""contract"" AND ""DevOps""",Medium,Not Started,No,No,No,Premium rates for digital expertise
T0029,2026-02-16,Monday,Bank of America,Fintech Banking,Python,Digital transformation contractor surge,"C2C preferred, some 1099",$70-130/hour,6-18 months,Cloud migration projects ongoing,Technology Vendor Manager,"""Bank of America"" AND ""Technology Vendor Manager"" AND ""contract"" AND ""Python""",High,Not Started,No,No,No,Large scale contractor programs
T0046,2026-02-16,Monday,Deloitte Digital,Consulting Agencies,Java,Project-based contractor model,"C2C, 1099 for specialists",$80-150/hour,4-8 months,Client project demands,Digital Contractor Lead,"""Deloitte Digital"" AND ""Digital Contractor Lead"" AND ""contract"" AND ""Java""",High,Not Started,No,No,No,Premium rates for digital expertise
T0039,2026-02-16,Monday,Accenture,Consulting Agencies,Python,"Subcontractor model, always hiring",C2C through partnerships,$60-120/hour,3-12 months,Multiple client projects continuously,Subcontractor Acquisition,"""Accenture"" AND ""Subcontractor Acquisition"" AND ""contract"" AND ""Python""",High,Not Started,No,No,No,High volume contractor placement
T0020,2026-02-16,Monday,Goldman Sachs,Fintech Banking,React,Heavy contract hiring for trading systems,"C2C, 1099 for specialized skills",$100-180/hour,3-6 months,Quarterly trading system upgrades,Contract Technical Recruiter,"""Goldman Sachs"" AND ""Contract Technical Recruiter"" AND ""contract"" AND ""React""",High,Not Started,No,No,No,"High-paying contracts, fast decision making"
T0041,2026-02-16,Monday,Accenture,Consulting Agencies,React,"Subcontractor model, always hiring",C2C through partnerships,$60-120/hour,3-12 months,Multiple client projects continuously,Subcontractor Acquisition,"""Accenture"" AND ""Subcontractor Acquisition"" AND ""contract"" AND ""React""",High,Not Started,No,No,No,High volume contractor placement
T0027,2026-02-16,Monday,Bank of America,Fintech Banking,Java,Digital transformation contractor surge,"C2C preferred, some 1099",$70-130/hour,6-18 months,Cloud migration projects ongoing,Technology Vendor Manager,"""Bank of America"" AND ""Technology Vendor Manager"" AND ""contract"" AND ""Java""",High,Not Started,No,No,No,Large scale contractor programs
T0023,2026-02-16,Monday,Goldman Sachs,Fintech Banking,AWS,Heavy contract hiring for trading systems,"C2C, 1099 for specialized skills",$100-180/hour,3-6 months,Quarterly trading system upgrades,Trading Technology Recruiter,"""Goldman Sachs"" AND ""Trading Technology Recruiter"" AND ""contract"" AND ""AWS""",High,Not Started,No,No,No,"High-paying contracts, fast decision making"
T0036,2026-02-16,Monday,Accenture,Consulting Agencies,Java,"Subcontractor model, always hiring",C2C through partnerships,$60-120/hour,3-12 months,Multiple client projects continuously,Contractor Relations,"""Accenture"" AND ""Contractor Relations"" AND ""contract"" AND ""Java""",High,Not Started,No,No,No,High volume contractor placement
T0002,2026-02-16,Monday,JPMorgan Chase,Fintech Banking,Java,Posts 50+ contract developer roles monthly,C2C through approved vendors,$80-150/hour,6-12 months,Always hiring contractors for regulatory projects,Vendor Management,"""JPMorgan Chase"" AND ""Vendor Management"" AND ""contract"" AND ""Java""",High,Not Started,No,No,No,"Massive contract budget, prefers established vendors"
T0024,2026-02-16,Monday,Goldman Sachs,Fintech Banking,DevOps,Heavy contract hiring for trading systems,"C2C, 1099 for specialized skills",$100-180/hour,3-6 months,Quarterly trading system upgrades,Contract Technical Recruiter,"""Goldman Sachs"" AND ""Contract Technical Recruiter"" AND ""contract"" AND ""DevOps""",Medium,Not Started,No,No,No,"High-paying contracts, fast decision making"
T0021,2026-02-16,Monday,Goldman Sachs,Fintech Banking,React,Heavy contract hiring for trading systems,"C2C, 1099 for specialized skills",$100-180/hour,3-6 months,Quarterly trading system upgrades,Trading Technology Recruiter,"""Goldman Sachs"" AND ""Trading Technology Recruiter"" AND ""contract"" AND ""React""",High,Not Started,No,No,No,"High-paying contracts, fast decision making"
T0012,2026-02-16,Monday,JPMorgan Chase,Fintech Banking,AWS,Posts 50+ contract developer roles monthly,C2C through approved vendors,$80-150/hour,6-12 months,Always hiring contractors for regulatory projects,Contract Staffing Lead,"""JPMorgan Chase"" AND ""Contract Staffing Lead"" AND ""contract"" AND ""AWS""",High,Not Started,No,No,No,"Massive contract budget, prefers established vendors"
T0006,2026-02-16,Monday,JPMorgan Chase,Fintech Banking,Python,Posts 50+ contract developer roles monthly,C2C through approved vendors,$80-150/hour,6-12 months,Always hiring contractors for regulatory projects,Contract Staffing Lead,"""JPMorgan Chase"" AND ""Contract Staffing Lead"" AND ""contract"" AND ""Python""",High,Not Started,No,No,No,"Massive contract budget, prefers established vendors"
T0018,2026-02-16,Monday,Goldman Sachs,Fintech Banking,Python,Heavy contract hiring for trading systems,"C2C, 1099 for specialized skills",$100-180/hour,3-6 months,Quarterly trading system upgrades,Contract Technical Recruiter,"""Goldman Sachs"" AND ""Contract Technical Recruiter"" AND ""contract"" AND ""Python""",High,Not Started,No,No,No,"High-paying contracts, fast decision making"
T0009,2026-02-16,Monday,JPMorgan Chase,Fintech Banking,React,Posts 50+ contract developer roles monthly,C2C through approved vendors,$80-150/hour,6-12 months,Always hiring contractors for regulatory projects,Contract Staffing Lead,"""JPMorgan Chase"" AND ""Contract Staffing Lead"" AND ""contract"" AND ""React""",High,Not Started,No,No,No,"Massive contract budget, prefers established vendors"
T0015,2026-02-16,Monday,JPMorgan Chase,Fintech Banking,DevOps,Posts 50+ contract developer roles monthly,C2C through approved vendors,$80-150/hour,6-12 months,Always hiring contractors for regulatory projects,Contract Staffing Lead,"""JPMorgan Chase"" AND ""Contract Staffing Lead"" AND ""contract"" AND ""DevOps""",Medium,Not Started,No,No,No,"Massive contract budget, prefers established vendors"
T0004,2026-02-16,Monday,JPMorgan Chase,Fintech Banking,Python,Posts 50+ contract developer roles monthly,C2C through approved vendors,$80-150/hour,6-12 months,Always hiring contractors for regulatory projects,Talent Acquisition - Contract,"""JPMorgan Chase"" AND ""Talent Acquisition - Contract"" AND ""contract"" AND ""Python""",High,Not Started,No,No,No,"Massive contract budget, prefers established vendors"
T0038,2026-02-16,Monday,Accenture,Consulting Agencies,Python,"Subcontractor model, always hiring",C2C through partnerships,$60-120/hour,3-12 months,Multiple client projects continuously,Contractor Relations,"""Accenture"" AND ""Contractor Relations"" AND ""contract"" AND ""Python""",High,Not Started,No,No,No,High volume contractor placement
T0010,2026-02-16,Monday,JPMorgan Chase,Fintech Banking,AWS,Posts 50+ contract developer roles monthly,C2C through approved vendors,$80-150/hour,6-12 months,Always hiring contractors for regulatory projects,Talent Acquisition - Contract,"""JPMorgan Chase"" AND ""Talent Acquisition - Contract"" AND ""contract"" AND ""AWS""",High,Not Started,No,No,No,"Massive contract budget, prefers established vendors"
